qid,activity,exposure,dayofweek,response,endurance
62156487,3,609,1,13573.0,13600.0
62079157,1,18,4,19734.0,19734.0
62079226,0,35,4,,2382.0
62079374,7,216,4,6252.0,6087191.0
62079606,0,148,4,,5981.0
62079094,2,517,4,5681.0,5681.0
62080025,2,194,4,48119919.0,48119919.0
62081256,3,353,4,458.00000000000006,17725.0
62081671,1,260,4,28792.0,28792.0
62081193,0,17,4,,104841.0
62081509,1,91,4,19570.0,19570.0
62083316,1,429,4,21271587.0,21271587.0
62084184,1,233,4,1859.0000000000002,1859.0000000000002
62083906,1,615,4,282139.0,282139.0
62085929,2,61,4,4147.0,6902.0
62084418,2,229,4,7085.0,34647.0
62086779,2,239,4,7960.000000000001,15721.000000000002
62086526,1,26,4,,128.0
62087869,0,64,4,,3326.0
62088615,22,16000,4,544003.0,47840861.0
62086425,1,50,4,1161.0,266433.0
62088894,2,541,4,2213.0,2213.0
62089175,0,14,4,,0.0
62090028,4,267,4,8464.0,8464.0
62089416,3,149,4,610.0,107338.0
62089113,3,478,4,55834.0,90696.0
62090116,2,27,4,937.0000000000001,937.0000000000001
62090590,3,494,4,330847.0,330847.0
62092037,1,50,4,1064.0,1064.0
62093449,2,479,4,626.0,1662.0
62093784,1,11,4,,0.0
62094082,2,61,4,,0.0
62093882,2,349,4,575.0,575.0
62094503,2,29,4,1226.0,1571.0
62094635,2,24,4,216967.0,216967.0
62095247,3,28,4,6799.0,66807.0
62094446,1,47,4,1476.0,1476.0
62096774,2,16,5,412.0,412.0
62096185,2,324,4,2040491.0000000002,2040491.0000000002
62096917,5,1000,5,13256.0,5334816.0
62096817,2,27,5,247310.00000000003,247310.00000000003
62096942,1,94,5,200133.0,200133.0
62097149,1,189,5,8566.0,8566.0
62099351,7,1000,5,10579.0,23332041.0
62098332,3,336,5,3232317.0,37635834.0
62099145,2,2000,5,25933774.0,25934273.0
62098727,0,8,5,,0.0
62099921,1,45,5,352.0,352.0
62099980,3,176,5,,0.0
62100806,2,506,5,,0.0
62100325,5,1000,5,732.0,5539.0
62101739,1,1000,5,22073.0,23998.0
62100994,1,150,5,154626.0,154626.0
62102787,0,248,5,,0.0
62102795,1,160,5,395.0,489.00000000000006
62105489,3,248,5,166228.0,166228.0
62102192,1,304,5,2855378.0,2855378.0
62105491,1,38,5,3380.0,3380.0
62105609,1,175,5,410.0,410.0
62105963,1,43,5,32043.000000000004,124325.00000000001
62105561,5,1000,5,8652487.0,8655867.0
62106848,3,26,5,3130.0,3130.0
62107005,2,137,5,133430.0,139144.0
62046764,3,29,2,4969.0,4969.0
62047484,2,170,2,2175.0,2175.0
62048000,0,185,2,,15047.000000000002
62048045,2,40,2,1994.0000000000002,1994.0000000000002
62048729,19,2000,2,136172.0,46097600.0
62048266,1,12,2,729.0,729.0
62049297,1,11,2,,0.0
62048927,0,65,2,,86026.0
62049612,4,1000,2,848.0,1407.0
62050692,0,62,2,,33334.0
62050849,0,35,2,,0.0
62050909,1,23,2,2024.0000000000002,2024.0000000000002
62052623,3,521,2,649.0,1160.0
62052788,1,26,2,,0.0
62052061,0,14,2,,0.0
62053189,2,26,2,1940.0000000000002,1940.0000000000002
62053169,2,70,2,402021.0,402021.0
62052824,1,42,2,2908.0,2908.0
62053907,1,662,2,1151.0,38143906.0
62054571,2,161,2,32010.000000000004,46640.0
62053923,4,643,2,3750.0000000000005,401515.0
62055149,1,339,3,2084.0,2084.0
62055592,2,112,3,366.0,12194.0
62055694,5,25,3,38440.0,38440.0
62057612,2,106,3,2494.0,2494.0
62057698,1,27,3,,0.0
62058080,4,461,3,3410429.0,3410429.0
62058615,1,680,3,2577.0,2577.0
62058376,4,1000,3,25536935.0,25536935.0
62058677,2,48,3,2258.0,2328.0
62059415,3,36,3,13269.0,13269.0
62060629,10,230,3,103038.0,129569.00000000001
62060649,8,1000,3,2149.0,29887074.0
62061602,3,48,3,767.0,28407.0
62062188,2,197,3,,0.0
62062330,3,297,3,29765.000000000004,37532.0
62062193,0,22,3,,4935.0
62062256,1,26,3,865.0,1207.0
62062939,3,36,3,7229.0,7229.0
62063120,3,95,3,9192.0,11266.0
62063280,1,64,3,1140.0,1140.0
62063609,1,214,3,,0.0
62063820,1,20,3,1439.0,17765.0
62064222,1,92,3,308990.0,308990.0
62063492,2,1000,3,99414.0,99414.0
62064348,0,42,3,,0.0
62065445,1,140,3,955.0000000000001,7297.0
62066089,0,10,3,,0.0
62066854,0,951,3,,0.0
62156648,0,962,1,,5676.0
62156813,3,499,1,19169.0,170058.0
62157507,0,21,1,,0.0
62157642,0,94,1,,0.0
62157855,1,21,1,,0.0
62158504,1,27,1,,0.0
62159664,3,40,1,676.0,5080.0
62160227,0,12,1,,0.0
62161300,1,1000,1,648562.0,648562.0
62160764,1,107,1,,2443.0
62161736,2,148,1,22873.0,24911.0
62162282,2,66,1,27192.0,47900.0
62162744,2,747,1,84472.0,84472.0
62164925,1,62,2,5345.0,46584.0
62165060,2,161,2,1057.0,1057.0
62165586,2,13,2,757.0,757.0
62166901,1,10,2,1553963.0,1553963.0
62167046,1,165,2,3466.0,3466.0
62166859,0,698,2,,0.0
62167309,0,39,2,,0.0
62167527,1,20,2,1539.0,1539.0
62168305,2,35,2,892.0,892.0
62167897,3,253,2,319.0,319.0
62169770,2,64,2,2978.0,153816.0
62170809,1,120,2,9229.0,9270.0
62172478,9,1000,2,17321542.0,17321542.0
62172918,2,139,2,7215.0,161154.0
62173003,1,99,2,4304.0,98951.0
62170985,0,59,2,,2678.0
62172524,2,38,2,1420.0,1420.0
62172295,3,29,2,279.0,279.0
62173389,2,21,2,160990.0,160990.0
62173442,3,755,2,3413.0,3880.0000000000005
62174488,1,82,2,7439.000000000001,21973.0
62174006,1,51,2,1808.0,4203.0
62174588,3,61,2,63425.00000000001,63425.00000000001
62174511,1,27,2,361.0,79536.0
62174723,1,50,2,60812.00000000001,60812.00000000001
62175299,2,38,2,7601.000000000001,7601.000000000001
62176052,3,74,2,76906.0,76906.0
62175459,4,360,2,3382.0,492929.00000000006
62176291,2,442,2,3019118.0,3993129.0000000005
62176607,4,4000,2,19262.0,19262.0
62177045,3,458,2,2338787.0,2574847.0
62177078,1,22,2,720.0,720.0
62178033,1,133,2,446.0,446.0
62179975,1,66,2,107262.0,107262.0
62179532,1,126,2,231872.0,231872.0
62180622,0,13,2,,0.0
62181199,5,172,2,11440.0,7173288.0
62181250,1,83,2,143461.0,143461.0
62181337,1,2000,2,42735.0,49686.0
62181793,1,94,2,,2241.0
62181680,2,171,2,181835.0,181835.0
62181955,4,625,2,43807.0,43807.0
62182290,1,83,2,317220.0,317220.0
62183468,2,2000,2,12042721.0,12042721.0
62169284,2,767,2,125833.00000000001,360933.0
62182829,3,805,2,28476055.0,28476055.0
62184099,0,46,2,,1101.0
62184273,1,5000,2,15065.000000000002,15065.000000000002
62184276,3,815,2,29514.000000000004,14927312.0
62184440,4,355,2,27630.0,42324695.0
62187454,4,553,3,3486.0,15988.000000000002
62186452,2,58,3,2901.0,4810885.0
62187620,1,555,3,190416.0,192053.0
62186207,2,123,3,2819.0,2819.0
62188357,1,271,3,1873.0000000000002,4885.0
62187722,1,27,3,1424.0,1424.0
62173248,5,330,2,16657.0,53726570.0
62188453,1,440,3,18087.0,18087.0
62188982,1,140,3,5201.0,5201.0
62191615,1,131,3,,4114.0
62191919,4,2000,3,19584.0,36730.0
62194173,3,92,3,603.0,603.0
62193773,1,17,3,2304.0,13021.0
62195641,4,1000,3,24133.0,65436.00000000001
62171798,2,64,2,1357.0,31188.000000000004
62197092,3,214,3,489.00000000000006,4549.0
62199638,0,25,3,,0.0
62194356,1,589,3,90092.0,90092.0
62199662,1,440,3,5343.0,225214.0
62192198,0,242,3,,299.0
62200391,2,23,3,16676.0,16676.0
62199724,0,16,3,,457.00000000000006
62200523,2,41,3,15559.000000000002,15559.000000000002
62201288,7,1000,3,15061.000000000002,16001.000000000002
62201232,1,122,3,,0.0
62190521,1,26,3,1870.0000000000002,1870.0000000000002
62201663,2,23,3,5161.0,30014.000000000004
62202647,1,770,3,56062.0,56062.0
62189109,2,127,3,4909.0,5573.0
62203212,0,68,3,,51805.0
62198962,4,85,3,2625.0,74450.0
62202755,1,157,3,,0.0
62205472,3,29,3,11061.0,11061.0
62203491,1,80,3,33856.0,615488.0
62205830,3,450,3,77015.0,85417.0
62207463,1,514,4,837.0,335895.0
62209005,1,240,4,780.0,1148.0
62209268,0,246,4,,245537.00000000003
62209079,2,152,4,6859.0,22537.0
62203220,3,89,3,474.00000000000006,1272.0
62210541,0,101,4,,0.0
62211096,0,78,4,,122319.00000000001
62211320,0,20,4,,9409.0
62212455,1,135,4,22911.0,22911.0
62210020,1,45,4,127499.00000000001,127499.00000000001
62213063,0,20,4,,0.0
62211804,14,2000,4,8054660.000000001,11117857.0
